,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Channel 1 a (Count),Channel 2 (Count)
78,1,0,5,2021-11-16 14:17:37,1.2,1211.0,4130.0
79,1,0,5,2021-11-16 14:17:37,1.2,1211.0,4130.0
80,1,0,5,2021-11-16 14:17:37,1.2,1212.0,4130.0
81,1,0,5,2021-11-16 14:17:37,1.2,1211.0,4130.0
82,1,0,5,2021-11-16 14:17:37,1.2,1212.0,4130.0
83,1,0,5,2021-11-16 14:17:37,1.2,1211.0,4130.0
84,1,0,5,2021-11-16 14:17:37,1.2,1211.0,4130.0
85,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
86,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
87,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
88,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
89,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
90,1,0,5,2021-11-16 14:18:24,1.2,1212.0,4130.0
91,1,0,5,2021-11-16 14:18:24,1.2,1212.0,4130.0
92,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
93,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
94,1,0,5,2021-11-16 14:18:24,1.2,1211.0,4130.0
95,1,0,5,2021-11-16 14:18:24,1.2,1188.0,4130.0
96,1,0,5,2021-11-16 14:18:24,1.2,1152.0,4130.0
97,1,0,5,2021-11-16 14:18:24,1.3,1197.0,4130.0
98,1,0,5,2021-11-16 14:18:24,1.3,1229.0,4130.0
99,1,0,5,2021-11-16 14:18:24,1.5,1233.0,4130.0
100,1,0,5,2021-11-16 14:18:24,1.5,1201.0,4130.0
101,1,0,5,2021-11-16 14:18:24,1.6,1133.0,4130.0
102,1,0,5,2021-11-16 14:18:24,1.7,1116.0,4130.0
103,1,0,5,2021-11-16 14:18:24,1.7,1085.0,4130.0
104,1,0,5,2021-11-16 14:18:24,1.8,850.0,4130.0
105,1,0,5,2021-11-16 14:18:24,1.9,784.0,4130.0
106,1,0,5,2021-11-16 14:19:12,2.0,861.0,4130.0
107,1,0,5,2021-11-16 14:19:12,2.1,891.0,4130.0
108,1,0,5,2021-11-16 14:19:12,2.2,968.0,4130.0
109,1,0,5,2021-11-16 14:19:12,2.2,973.0,4130.0
110,1,0,5,2021-11-16 14:19:12,2.4,1025.0,4130.0
111,1,0,5,2021-11-16 14:19:12,2.4,1036.0,4130.0
112,1,0,5,2021-11-16 14:19:12,2.5,1048.0,4130.0
113,1,0,5,2021-11-16 14:19:12,2.6,1058.0,4130.0
114,1,0,5,2021-11-16 14:19:12,2.7,1109.0,4130.0
115,1,0,5,2021-11-16 14:19:12,2.8,1100.0,4130.0
116,1,0,5,2021-11-16 14:19:12,2.9,1126.0,4130.0
117,1,0,5,2021-11-16 14:19:12,3.0,1113.0,4130.0
118,1,0,5,2021-11-16 14:19:12,3.0,1140.0,4130.0
119,1,0,5,2021-11-16 14:19:12,3.1,1149.0,4130.0
120,1,0,5,2021-11-16 14:19:12,3.2,1201.0,4130.0
121,1,0,5,2021-11-16 14:19:12,3.3,1198.0,4130.0
122,1,0,5,2021-11-16 14:19:12,3.4,1228.0,4130.0
123,1,0,5,2021-11-16 14:19:12,3.5,1214.0,4130.0
124,1,0,5,2021-11-16 14:19:12,3.6,1231.0,4130.0
125,1,0,5,2021-11-16 14:19:12,3.6,1266.0,4130.0
126,1,0,5,2021-11-16 14:19:12,3.7,1324.0,4130.0
127,1,0,5,2021-11-16 14:20:00,3.8,1315.0,4130.0
128,1,0,5,2021-11-16 14:20:00,3.9,1316.0,4130.0
129,1,0,5,2021-11-16 14:20:00,4.0,1273.0,4130.0
130,1,0,5,2021-11-16 14:20:00,4.1,1287.0,4130.0
131,1,0,5,2021-11-16 14:20:00,4.2,1266.0,4130.0
132,1,0,5,2021-11-16 14:20:00,4.3,1260.0,4130.0
133,1,0,5,2021-11-16 14:20:00,4.4,1268.0,4130.0
134,1,0,5,2021-11-16 14:20:00,4.5,1278.0,4130.0
135,1,0,5,2021-11-16 14:20:00,4.6,1207.0,4130.0
136,1,0,5,2021-11-16 14:20:00,4.8,1237.0,4130.0
137,1,0,5,2021-11-16 14:20:00,4.9,1263.0,4130.0
138,1,0,5,2021-11-16 14:20:00,5.0,1249.0,4130.0
139,1,0,5,2021-11-16 14:20:00,5.1,1276.0,4130.0
140,1,0,5,2021-11-16 14:20:00,5.2,1250.0,4130.0
141,1,0,5,2021-11-16 14:20:00,5.3,1261.0,4130.0
142,1,0,5,2021-11-16 14:20:00,5.3,1264.0,4130.0
143,1,0,5,2021-11-16 14:20:00,5.5,1278.0,4130.0
144,1,0,5,2021-11-16 14:20:00,5.6,1296.0,4130.0
145,1,0,5,2021-11-16 14:20:00,5.7,1275.0,4130.0
146,1,0,5,2021-11-16 14:20:00,5.8,1288.0,4130.0
147,1,0,5,2021-11-16 14:20:00,5.8,1184.0,4130.0
148,1,0,5,2021-11-16 14:20:47,5.8,1211.0,4130.0
149,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
150,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
151,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
152,1,0,5,2021-11-16 14:20:47,5.8,1257.0,4130.0
153,1,0,5,2021-11-16 14:20:47,5.8,1253.0,4130.0
154,1,0,5,2021-11-16 14:20:47,5.8,1253.0,4130.0
155,1,0,5,2021-11-16 14:20:47,5.8,1255.0,4130.0
156,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
157,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
158,1,0,5,2021-11-16 14:20:47,5.8,1254.0,4130.0
159,1,0,5,2021-11-16 14:20:47,5.8,1253.0,4130.0
160,1,0,5,2021-11-16 14:20:47,5.8,1250.0,4130.0
161,1,0,5,2021-11-16 14:20:47,5.8,1252.0,4130.0
162,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
163,1,0,5,2021-11-16 14:20:47,5.8,1250.0,4130.0
164,1,0,5,2021-11-16 14:20:47,5.8,1252.0,4130.0
165,1,0,5,2021-11-16 14:20:47,5.8,1250.0,4130.0
166,1,0,5,2021-11-16 14:20:47,5.8,1250.0,4130.0
167,1,0,5,2021-11-16 14:20:47,5.8,1250.0,4130.0
168,1,0,5,2021-11-16 14:20:47,5.8,1251.0,4130.0
169,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
170,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
171,1,0,5,2021-11-16 14:21:35,5.8,1251.0,4130.0
172,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
173,1,0,5,2021-11-16 14:21:35,5.8,1251.0,4130.0
