,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),C1 phase (°),C2 phase (°),Temperature (°C)
0,1,0,5,2022-06-23 17:54:29,0.1,37.367,6.774,20.206
183,1,0,5,2022-06-23 18:57:48,0.1,37.228,6.733,20.675
184,1,0,5,2022-06-23 18:57:48,0.1,37.232,6.735,20.652
186,1,0,5,2022-06-23 18:57:48,0.1,37.229,6.734,20.636
187,1,0,5,2022-06-23 18:57:48,0.1,37.223,6.732,20.638
188,1,0,5,2022-06-23 18:57:48,0.1,37.245,6.733,20.644
189,1,0,5,2022-06-23 18:57:48,0.1,37.243,6.733,20.628
190,1,0,5,2022-06-23 18:57:48,0.1,37.255,6.733,20.623
191,1,0,5,2022-06-23 19:01:08,0.1,37.254,6.731,20.609
192,1,0,5,2022-06-23 19:01:08,0.1,37.264,6.731,20.595
193,1,0,5,2022-06-23 19:01:08,0.1,37.272,6.731,20.579
194,1,0,5,2022-06-23 19:01:08,0.1,37.272,6.734,20.558
195,1,0,5,2022-06-23 19:01:08,0.1,37.276,6.731,20.537
196,1,0,5,2022-06-23 19:01:08,0.1,37.29,6.729,20.523
197,1,0,5,2022-06-23 19:01:08,0.1,37.296,6.73,20.497
198,1,0,5,2022-06-23 19:01:08,0.1,37.293,6.731,20.472
199,1,0,5,2022-06-23 19:01:08,0.1,37.303,6.73,20.459
200,1,0,5,2022-06-23 19:01:08,0.1,37.301,6.727,20.429
201,1,0,5,2022-06-23 19:04:28,0.1,37.317,6.728,20.411
202,1,0,5,2022-06-23 19:04:28,0.2,37.321,6.726,20.387
203,1,0,5,2022-06-23 19:04:28,0.1,37.32,6.725,20.358
204,1,0,5,2022-06-23 19:04:28,0.2,37.323,6.724,20.335
205,1,0,5,2022-06-23 19:04:28,0.2,37.331,6.722,20.3
206,1,0,5,2022-06-23 19:04:28,0.2,37.341,6.721,20.281
207,1,0,5,2022-06-23 19:04:28,0.2,37.353,6.721,20.249
208,1,0,5,2022-06-23 19:04:28,0.2,37.355,6.721,20.219
