,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Temperature (°C),Salinity (PSU)
0,1,0,5,2021-11-16 14:13:15,0.5,14.826,0.024
1,1,0,9,2021-11-16 22:06:31,1.5,14.195,0.024
2,1,0,9,2021-11-16 22:06:31,2.5,14.095,0.024
3,1,0,9,2021-11-16 22:06:31,3.5,14.019,0.024
4,1,0,9,2021-11-16 22:06:31,4.5,13.965,0.024
5,1,0,9,2021-11-16 22:06:31,5.2,13.94,0.024
21,1,0,9,2021-11-16 22:06:31,5.2,13.913,0.024
22,1,1,9,2021-11-17 01:06:30,4.5,13.934,0.025
23,1,1,9,2021-11-17 01:06:30,3.5,13.922,0.025
24,1,1,9,2021-11-17 01:06:30,2.5,13.908,0.025
25,1,1,9,2021-11-17 01:06:30,1.5,13.891,0.025
26,1,1,9,2021-11-17 01:06:30,0.5,13.866,0.025
43,1,1,9,2021-11-17 01:06:30,0.5,13.545,0.025
44,1,1,9,2021-11-17 01:06:30,1.5,13.679,0.025
45,1,1,9,2021-11-17 01:06:30,2.5,13.691,0.025
46,1,1,9,2021-11-17 01:06:30,3.5,13.711,0.025
47,1,1,9,2021-11-17 01:06:30,4.5,13.735,0.025
48,1,1,9,2021-11-17 01:06:30,5.1,13.752,0.025
63,1,1,9,2021-11-17 01:06:30,5.1,13.904,0.025
64,1,2,9,2021-11-17 04:06:51,4.5,13.92,0.025
65,1,2,9,2021-11-17 04:06:51,3.5,13.907,0.025
66,1,2,9,2021-11-17 04:06:51,2.5,13.892,0.025
67,1,2,9,2021-11-17 04:06:51,1.5,13.875,0.025
68,1,2,9,2021-11-17 04:06:51,0.5,13.845,0.025
85,1,2,9,2021-11-17 04:06:51,0.5,13.443,0.025
86,1,2,9,2021-11-17 04:06:51,1.5,13.662,0.025
87,1,2,9,2021-11-17 04:06:51,2.5,13.664,0.025
88,1,2,9,2021-11-17 04:06:51,3.5,13.672,0.025
89,1,2,9,2021-11-17 04:06:51,4.5,13.687,0.025
90,1,2,9,2021-11-17 04:06:51,5.2,13.699,0.025
105,1,2,9,2021-11-17 04:06:51,5.2,13.869,0.025
106,1,3,9,2021-11-17 07:00:35,4.5,13.894,0.025
107,1,3,9,2021-11-17 07:00:35,3.5,13.882,0.025
108,1,3,9,2021-11-17 07:00:35,2.5,13.864,0.025
109,1,3,9,2021-11-17 07:00:35,1.5,13.842,0.025
110,1,3,9,2021-11-17 07:00:35,0.5,13.806,0.025
127,1,3,9,2021-11-17 07:00:35,0.6,13.513,0.025
128,1,3,9,2021-11-17 07:00:35,1.5,13.573,0.025
129,1,3,9,2021-11-17 07:00:35,2.5,13.587,0.025
130,1,3,9,2021-11-17 07:00:35,3.5,13.612,0.025
131,1,3,9,2021-11-17 07:00:35,4.5,13.64,0.025
132,1,3,9,2021-11-17 07:00:35,5.1,13.655,0.025
147,1,3,9,2021-11-17 07:00:35,5.1,13.832,0.025
148,1,0,5,2022-06-23 22:52:29,4.5,13.859,0.025
149,1,0,5,2022-06-23 22:52:29,3.5,13.843,0.025
150,1,0,5,2022-06-23 22:52:29,2.5,13.825,0.025
151,1,0,5,2022-06-23 22:52:29,1.5,13.805,0.025
152,1,0,5,2022-06-23 22:52:29,0.5,13.779,0.025
168,1,0,5,2022-06-23 22:52:29,0.5,18.056,19.492
169,1,0,9,2022-06-24 19:07:14,1.6,16.786,27.102
170,1,0,9,2022-06-24 19:07:14,2.5,15.8,27.503
171,1,0,9,2022-06-24 19:07:14,3.5,16.484,26.998
172,1,0,9,2022-06-24 19:07:14,4.5,16.216,27.153
173,1,0,9,2022-06-24 19:07:14,5.5,16.054,27.142
174,1,0,9,2022-06-24 19:07:14,6.5,15.891,27.151
175,1,0,9,2022-06-24 19:07:14,7.5,15.745,27.211
176,1,0,9,2022-06-24 19:07:14,8.5,15.633,27.277
177,1,0,9,2022-06-24 19:07:14,9.4,15.563,27.343
178,1,0,9,2022-06-24 19:07:14,10.1,15.499,27.381
189,1,0,9,2022-06-24 19:07:14,32.5,4.217,30.833
190,1,0,9,2022-06-24 19:35:27,31.0,4.445,30.801
