COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Canada,2019-08-17T08:04:00,48.8938,-129.6662,2021-03-31T05:05:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902492,AI2600-19CA021,OPERATIONAL
Canada,2019-07-08T15:45:00,53.8063,-151.663,2021-04-01T05:08:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902493,AI2600-19CA022,OPERATIONAL
Canada,2019-07-07T16:42:00,53.1038,-144.8598,2021-03-30T05:05:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902494,AI2600-19CA023,OPERATIONAL
Canada,2019-09-15T21:56:00,56.2792,-50.2817,2021-03-30T06:00:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902489,AI2600-19CA018,OPERATIONAL
Canada,2019-09-15T17:09:00,57.1735,-49.523,2021-03-30T04:33:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902495,AI2600-19CA024,OPERATIONAL
Canada,2019-11-28T01:02:00,47.0005,-42.999,2021-04-03T04:22:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902496,AI2600-19CA025,OPERATIONAL
Canada,2019-11-28T01:06:00,47.0003,-42.9992,2021-04-03T04:06:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902497,AI2600-19CA026,OPERATIONAL
Canada,2019-11-26T05:55:00,42.012,-49.2682,2021-04-05T04:15:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902498,AI2600-19CA027,OPERATIONAL
Canada,2019-11-26T05:58:00,42.0818,-49.2687,2021-04-05T04:15:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902499,AI2600-19CA028,OPERATIONAL
Canada,2020-10-11T02:13:00,43.0202,-59.1096,2021-04-01T04:24:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902500,AI2600-19CA029,OPERATIONAL
Canada,2020-10-10T19:43:00,42.5683,-60.6801,2021-03-31T04:34:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902501,AI2600-19CA030,OPERATIONAL
Canada,2020-10-11T12:59:00,43.4682,-57.4924,2021-04-01T05:10:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902502,AI2600-19CA031,OPERATIONAL
Canada,2020-10-11T05:21:00,43.2156,-58.3093,2021-04-01T04:55:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902503,AI2600-19CA032,OPERATIONAL
Canada,2020-08-03T16:41:00,58.6267,-50.3879,2021-04-02T04:49:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902504,AI2600-19CA033,OPERATIONAL
Canada,2020-08-01T13:58:00,56.5554,-52.712,2021-03-31T04:39:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902505,AI2600-19CA034,OPERATIONAL
Canada,2020-08-08T23:50:00,58.5034,-53.2477,2021-04-07T04:46:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902506,AI2600-19CA035,OPERATIONAL
Canada,2020-08-07T18:26:00,59.9989,-51.7501,2021-04-06T04:53:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902507,AI2600-19CA036,OPERATIONAL
Canada,2020-08-08T01:54:00,59.9987,-52.4068,2021-04-07T04:44:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902508,AI2600-19CA037,OPERATIONAL
Canada,2020-08-01T23:01:00,56.9554,-52.2345,2021-03-31T04:48:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902509,AI2600-19CA038,OPERATIONAL
Canada,2020-08-01T03:54:00,56.1384,-53.1502,2021-03-31T04:43:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902510,AI2600-19CA039,OPERATIONAL
Canada,2020-08-02T15:07:00,57.7961,-51.3471,2021-04-01T04:48:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902511,AI2600-19CA040,OPERATIONAL
Canada,2020-08-08T15:46:00,59.1515,-53.1843,2021-04-07T04:38:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902512,AI2600-19CA041,OPERATIONAL
